id;post;created
538;Stagiaire: conception éléctronique, installation caméra de survéillance et système d'alarme;03/05/2017 09:45
539;Web designer et Installateur de caméra de surveillance;03/05/2017 09:47
540;Maintenancier et programmeur;03/05/2017 09:56
541;Collaborateur comptable privé;03/05/2017 12:07
542;Consultant privé;03/05/2017 12:25
543;Responsable Comptable;03/05/2017 12:29
544;Professeur de comptabilité générale et mathématiques financières;03/05/2017 12:32
545;Conseiller Régisseur;03/05/2017 12:39
546;Responsable Importation;03/05/2017 12:39
547;Responsable Achat et transit;03/05/2017 12:39
548;Assistant au service comptabilité;03/05/2017 12:40
549;Chef Comptable;04/05/2017 06:50
550;Développeur web front-end et back-end;04/05/2017 20:59
551;Inntégrateur web et maintenances des sites en wordpress;04/05/2017 20:59
552;Développeur full stack (front-back);04/05/2017 20:59
553;Intégrateur web et maintenances des sites en wordpress;04/05/2017 21:11
554;Cuisinier;05/05/2017 06:28
555;Aide cuisinier/Patissier;05/05/2017 06:29
556;Cuisinier/Pâtissier/Pizzaiolo;05/05/2017 06:33
557;Réceptionnsiste;05/05/2017 06:38
558;RESPONSABLE AGENCE;05/05/2017 09:39
559;Agent mapping;05/05/2017 11:48
560;Responsable marketing et commercial;05/05/2017 11:51
561;Stagiaire assistant Brand Marketing Representative;05/05/2017 11:54
562;Responsable animation et entretien de sonorisation;05/05/2017 12:00
563;INFORMATICIEN.;05/05/2017 18:40
564;Secrétaire médicale;06/05/2017 06:55
565;annimatrice;06/05/2017 09:42
566;Assistant;06/05/2017 13:49
567;QHSE;07/05/2017 14:29
568;Gestionnaire de stock;07/05/2017 19:31
569;chef mangasinier et géstionnaire d'entreprise;08/05/2017 07:08
570;Assistante logistique et achat;08/05/2017 09:00
571;Responsable de Communication;08/05/2017 09:05
572;Chargée de clientèle/commerciale;08/05/2017 09:14
573;Responsable Administratif et Financier;08/05/2017 09:24
574;Responsable Département Recette ;08/05/2017 09:26
575;Export de vanille;08/05/2017 09:30
576;professeur de malgache;08/05/2017 10:16
577;professeur d'orthographe malgache et française;08/05/2017 10:16
578;Responsable Exploitation - HSE - Logistique;09/05/2017 08:03
579;Responsable HSE;09/05/2017 08:03
580;Collaborateur en Gestion Finance;09/05/2017 09:56
581;RESPONSABLE RESSOURCES HUMAINES;09/05/2017 11:49
582;Secrétaire et assistante Ressources Humaines;09/05/2017 11:53
583;Assistante gestion du personnel;09/05/2017 12:01
584;Stagiaire auprès du service marketing et opérationnel;09/05/2017 12:13
585;stagiaire commercial;09/05/2017 12:13
586;Démarcheur auprès des détaillants ;10/05/2017 07:11
587;Stagiaire Développeur web;10/05/2017 07:30
588;Institutrice;10/05/2017 14:14
589;Agent de facuration, de resevation fret export et agent de comptoir fret export;10/05/2017 14:50
590;STAGIAIRE EN VENTE ET TELEOERATION;10/05/2017 14:50
591;STAGE EN TRANSIT;10/05/2017 14:50
592;coach multimedia;10/05/2017 15:00
593;responsable du stand;10/05/2017 15:00
594;assistant commerciale;10/05/2017 15:49
595;Auditeur Senior;11/05/2017 06:12
596;DIFFERENTES;11/05/2017 07:57
597;Manager;11/05/2017 09:46
598;Assitant Manager;11/05/2017 09:46
599;Senior Auditor - Senior Consultant;11/05/2017 09:46
600;moderateur;12/05/2017 06:35
601;RESPONSABLE STOCK-COMMERCIAL-ADMINISTRATION;12/05/2017 09:03
602;Inspecteur financier et responsable contentieux;12/05/2017 09:16
603;Aide assistante commerciale;13/05/2017 09:23
604;AIde DRH;13/05/2017 09:23
605;Comptable junior;13/05/2017 11:51
606;Gérant et Proprietaire;15/05/2017 10:00
607;Chargée des Ressources Humaines;16/05/2017 14:04
608;Gestionnaire de paie intérimaire;16/05/2017 14:04
609;enseignant de math;16/05/2017 18:05
610;buraux d'etude;16/05/2017 19:52
611;Consultant Commercial;17/05/2017 08:47
612;Responsable Administratif et Management de l'équipe commerciale;17/05/2017 08:47
613;ELECTRICIAN;19/05/2017 13:10
614;STORMAN;19/05/2017 13:20
615;Rigger ;19/05/2017 13:29
616;PAINT, ELECTRICIAN;19/05/2017 13:38
617;RIGGER, COMMON LABOR;19/05/2017 13:47
618;service Maintenance et réseau;19/05/2017 18:54
619;Agent cartographe;20/05/2017 10:06
620;Superviseur de chantier (Consultation Individuelle);20/05/2017 10:06
621;Stagiaire professionnel en qualité d' assistant de direction ;20/05/2017 10:06
622;Responsable suivie Environnemental;20/05/2017 10:06
623;Stagiaire professionnel ;20/05/2017 10:06
624;gestionnaire financier et responsable informatique;22/05/2017 12:46
625;Chef de departement Formation;22/05/2017 12:46
626;Responsable informatique et administrateur SAGE;22/05/2017 12:46
627;DRH;22/05/2017 12:46
628;Responsable personnel;22/05/2017 12:46
629;Directeur de Systeme informatique et administration SAGE;22/05/2017 12:46
630;Administrateur SAGE;22/05/2017 12:46
631;Directeur Technique EBP CIEL;22/05/2017 12:46
632;RAF-RRH;22/05/2017 12:46
633;Agent de production;23/05/2017 06:59
634;Assistant de direction de production;23/05/2017 06:59
635;Superviseur de ligne de production;23/05/2017 06:59
636;Agent de transit;23/05/2017 06:59
637;responsable de trasit;23/05/2017 06:59
638;Distributeur de compacte disque;23/05/2017 07:17
639;Premier responsable de SAHAN'NY ANKIZY MANDROSEZA;23/05/2017 07:17
640;Premier responsable au Centre d'Eveil Communautaire MANDROSEZA;23/05/2017 07:17
641;Chef magasinier;23/05/2017 07:17
642;Premier responsable  ;23/05/2017 09:03
643;ddeveloppeur d'une application;23/05/2017 14:40
644;RESPONSABLE ADMINISTRATION-RESSOURCES HUMAINES;24/05/2017 09:53
645;Chargé de fiabilisation des dossiers clients;24/05/2017 11:18
646;Agent de transit (Service Opération);24/05/2017 11:18
647;Merchandiser;24/05/2017 11:18
648;Conseiller Client (stagiaire);24/05/2017 11:18
649;Poste occupé;26/05/2017 17:27
650;bureau d'étude;29/05/2017 09:07
651;Aide assistante commerciale en tant que stagiaire;29/05/2017 09:37
652;AIde DRH en tant que stagiaire;29/05/2017 09:39
653;Assistante juridique;29/05/2017 12:39
654;Rédactrice et correctrice Web;29/05/2017 12:45
655;Aide comptable;29/05/2017 12:45
656;opératrice de gestion ;29/05/2017 15:03
657;Adjoint du responsable du stock ;29/05/2017 15:27
658;Consultant financier;30/05/2017 13:52
659;Responsable cyber;31/05/2017 07:19
660;secrétaire administratif;31/05/2017 07:19
661;Technicien du districk;31/05/2017 07:19
662;Instrumentation Field Engineer, Spécialiste en E+H Instruments;31/05/2017 08:26
663;Technico - Commercial;31/05/2017 08:26
664;Stagiaire Technicien;31/05/2017 08:26
665;Stage d'Imprégniation;31/05/2017 08:26
666;Machiniste, chef d'équipe département Chaudronnerie;31/05/2017 08:59
667;Inspecteur;31/05/2017 08:59
668;Technical Clerk,Quality Assurance-Quality Control;31/05/2017 08:59
669;Responsable stock;31/05/2017 08:59
670;Respnsable HSE;31/05/2017 08:59
671;Interlocuteur ;31/05/2017 08:59
672;Rédacteur&Referenceur Web confirmé / community manager;31/05/2017 11:49
673;cassière et assistante gerante, Rédacteur&Referenceur Web confirmé / community manager;31/05/2017 11:59
674;AGENT RECCENSEUR;01/06/2017 08:14
675;Stagiaire en maintenance et réseau;01/06/2017 12:39
676;Ingénieur d'études et de travaux;02/06/2017 08:12
677;Ingénieur Technique;02/06/2017 09:37
678;Operateur online niveau Senior 1;03/06/2017 16:32
679;Integrateur et developpeur php;03/06/2017 16:32
680;Manoeuvre-élagueur-monteur;06/06/2017 06:27
681;Etude,dessinateur et métreur;06/06/2017 06:27
682;Boardmaker;06/06/2017 11:27
683;Prof de Math et Francais;06/06/2017 15:06
684;Assistant Administratif et Financier;06/06/2017 15:06
685;Responsable administration et ressources humaines;06/06/2017 15:06
686;ADVISOR ;07/06/2017 09:23
687;OPERATRICE MEDIA;07/06/2017 09:23
688;SALES ET CUSTOMER SERVICES;07/06/2017 09:23
689;Génie Logiciel et Base de données;07/06/2017 09:25
690;Administration des systèmes et réseaux;07/06/2017 09:25
691;agent de saisie;07/06/2017 16:05
692;AAAA;09/06/2017 11:16
693;Responsable;09/06/2017 12:42
694;PAO;09/06/2017 12:42
695;Responsable d'édition Multimédia;09/06/2017 12:42
696;PAO et responsable informatique;09/06/2017 12:51
697;Agent d'accueil;09/06/2017 14:49
698;Assistant traiteur d'eau;09/06/2017 14:49
699;Superviseur forage;10/06/2017 10:10
700;Superviseur mine service;10/06/2017 10:10
701;Contremaître exploitation;10/06/2017 10:10
702;Technicien minier;10/06/2017 10:10
703;Topographe;10/06/2017 10:10
704;Chef de mission Topographe;10/06/2017 10:10
705;magasiner;10/06/2017 12:43
706;;10/06/2017 17:42
707;Centre d'appel;12/06/2017 07:21
708;convaincre les gens à utiliser le plan familiale;12/06/2017 07:21
709;administration ;12/06/2017 12:43
710;INFIRMIER AMBULANCIER;13/06/2017 07:54
711;ASSITANT LOGISTIQUE;13/06/2017 07:55
712;CHEF DE DEPOT ;13/06/2017 07:55
713;RESP LOGISTIQUE;13/06/2017 07:55
714;PLANIFICATEUR;13/06/2017 07:55
715;arpenteur mettreur;13/06/2017 11:11
716;chauffeur de camion;13/06/2017 14:44
717;aide garagiste;13/06/2017 14:44
718;assistante commerciale et administrative;14/06/2017 06:50
719;gestionnaire BMI;14/06/2017 10:43
720;Analyste commercial;14/06/2017 10:43
721;Directeur Adjoint;14/06/2017 10:43
722;Chauffeur Livreur Camion-Citerne à gaz GPL;14/06/2017 11:44
723;Conseiller client et web conseiller ;14/06/2017 14:38
724;Back office;14/06/2017 14:38
725;gestionnaire de parcking;14/06/2017 15:35
726;technicien de maintenance informatique;14/06/2017 15:35
727;administration financière (stagiaire);15/06/2017 06:26
728;service administration (stagiaire);15/06/2017 06:26
729;DRH (stagiaire);15/06/2017 06:26
730; Logisticien;15/06/2017 08:11
731;RESPONSABLE EXPLOITATION SAGE;15/06/2017 14:14
732;Responsable chambre froide;15/06/2017 14:53
733;Macourrier;16/06/2017 07:56
734;service clientèle;16/06/2017 07:56
735;Chauffeur Livreur Camion-Citerne ;16/06/2017 15:06
736;service patron;16/06/2017 15:06
737;Ouvrière;16/06/2017 15:14
738;Digital project Manager;18/06/2017 19:58
739;Administration Avions privés et Service Import Export;19/06/2017 10:24
740;Stagiaire Imoprt Export;19/06/2017 10:24
741;Stagiaire Ressources Humaines;19/06/2017 10:24
742;Stagiaire Import ;19/06/2017 10:24
743;opérateur Anglophone;19/06/2017 10:29
744;Responsable informatique consultant;19/06/2017 11:17
745;Econome;19/06/2017 11:17
746;Technicien Sage;19/06/2017 11:17
747;Assistant administrateur ;19/06/2017 11:17
748;Facturier;19/06/2017 11:17
749;inspectice ;19/06/2017 12:07
750;ouvrier;19/06/2017 13:51
751;Maintenancier;19/06/2017 13:51
752;agent temporaire;19/06/2017 14:56
753;agent;19/06/2017 14:56
754;observatrice du fonctionnement de l'entreprise;19/06/2017 19:23
755;Assistante stagiaire;20/06/2017 10:39
756;Commercial back office;20/06/2017 10:39
757;INGENIEUR;20/06/2017 12:27
758;Dessinateur Métreur;20/06/2017 12:27
759;inspectrice;20/06/2017 13:31
760;croupière;20/06/2017 13:31
761;Declarant;21/06/2017 07:15
762;chef de projet/ responsable qualité/ opératrice de saisie;21/06/2017 14:01
763;responsable communication;21/06/2017 14:22
764;responsable supports visuels;21/06/2017 14:22
765;controleur de vente;21/06/2017 14:50
766;acceuil,guide  croisièriste, gestion de site web;21/06/2017 14:50
767;interprète;21/06/2017 14:50
768;Operatrice on line niveau 3 Confirmée;22/06/2017 08:40
769;Traductrice;22/06/2017 08:40
770;Enseignante de la langue Allemande;22/06/2017 08:40
771;Service RH;22/06/2017 09:01
772;Encadrement ;22/06/2017 09:01
773;responsable controle qualite;22/06/2017 09:48
774;prestataire de service;22/06/2017 14:42
775;Agent de crédit;23/06/2017 06:35
776;CHARGE CLIENTEL;23/06/2017 09:38
777;Responsables Caisse;23/06/2017 14:19
778;Assisstante Ressources humaines;23/06/2017 14:19
779;Enquetrices;23/06/2017 14:19
780;Agent de saisie Online;23/06/2017 14:19
781;controleur HSE;23/06/2017 14:19
782;Encadreur;23/06/2017 14:47
783;CONDUCTEUR DE TRAVAUX;27/06/2017 11:15
784;stagiaire en service suivi_évaluation;27/06/2017 11:20
785;*Opérateur de saisie, responsable en finition & planning coordinateur;27/06/2017 11:29
786;chargé de communication;27/06/2017 11:39
787; Agent de saisie online;28/06/2017 06:55
788;Opérateur de saisie et polyvalent;28/06/2017 08:03
789;Professeur d'anglais;28/06/2017 09:45
790;Auditeur junior et comptable confirmé;28/06/2017 10:13
791;Assistant à la DMC;28/06/2017 12:01
792;Ingénieur en BTP;28/06/2017 14:01
793;Consultat;28/06/2017 14:01
794;Secreétaire Administrative ;28/06/2017 14:33
795;HR Manager Rewards;28/06/2017 19:26
796;Assistante;29/06/2017 06:02
797;Préparer les voyages ;29/06/2017 06:02
798;Aide Assistant de direction (stagiaire);29/06/2017 13:05
799;INFORMATICIEN (Stagiaire) ;29/06/2017 13:24
800;Opérateur Back Office;29/06/2017 13:38
801;traducteur;29/06/2017 14:10
802;etudiante;29/06/2017 15:14
803;Responsable Technique;30/06/2017 09:22
804; Assistante;30/06/2017 14:04
805;Responsable élevage, technicien agricole;01/07/2017 12:55
806;Aide magasinier;01/07/2017 13:33
807;Gestionnaire rétention client;02/07/2017 11:18
808;Contrôleur de gestion;03/07/2017 08:16
809;Assisstante Ressources humaines (stagiaire);03/07/2017 13:59
810;(Stagiaire);03/07/2017 13:59
811;Gestionnaire(stagiaire);03/07/2017 13:59
812;transcripteur;03/07/2017 14:21
813;Vendeur Technicien;03/07/2017 14:39
814;technicien en système d'information;03/07/2017 14:40
815;professeur  vacataire;04/07/2017 13:41
816;Consultant en référencement;04/07/2017 14:01
817;Rédacteur et référenceur;04/07/2017 14:01
818;observateur;04/07/2017 14:01
819;contrôleur technique;04/07/2017 14:16
820;RESPONSABLE DES RESSOURCES HUMAINES;05/07/2017 06:58
821;HUMAN RESOURCES SPECIALIST;05/07/2017 06:58
822;Electricien;05/07/2017 08:15
823;Téléopératrice / assistante virtuelle;05/07/2017 09:54
824;Néeant;05/07/2017 10:46
825;RSM: Régional Sales Manager;05/07/2017 13:12
826;Représentant Commercial;05/07/2017 13:12
827;Responsable Commericial;05/07/2017 13:12
828;Agent de Guichet Foncier;05/07/2017 13:12
829;bibliothécaire,enseignant (informatique);06/07/2017 14:02
830;informaticien,aide comptable,secrétaire;06/07/2017 14:02
831;Animateur,gestionnaire,bibliothécaire;06/07/2017 14:02
832;téléprospectrice;06/07/2017 14:15
833;Agent Comptable chargé de la trésorerie;07/07/2017 08:45
834;Agent comptable chargé de la trésorerie, Contrôleur interne;07/07/2017 08:45
835;COORDINATEUR DE MAINTENANCE;07/07/2017 12:25
836;SUPERVISEUR DE SITE;07/07/2017 12:25
837;Auditeur (stagiaire);07/07/2017 13:43
838;Informatique et Membre de bureau d'étude;08/07/2017 08:15
839;Team Lead;08/07/2017 08:32
840;Java développeur senior;08/07/2017 08:32
841;RESPONSABLE MAGASIN ACCESSOIRES;08/07/2017 09:02
842;PURCHASER;08/07/2017 09:02
843;Ingénieur DBA et responsable outils métiers;08/07/2017 10:12
844;Développeur sous Delphi et administrateur de base de donnée Oracle 10g assistant au sein de la société MATERAUTO Madagascar.;08/07/2017 10:12
845;sécurité civil;08/07/2017 18:02
846;Stagiaire LOGISTIQUE;09/07/2017 21:53
847;Developpeur python,awk,bash;10/07/2017 08:11
848;Développeur (free-lance)(python/django);10/07/2017 08:11
849;Stagiaire en Administration système et réseaux;10/07/2017 14:42
850;Stagiaire en service personnel et service du budget;10/07/2017 14:50
851;Stagiaire au sein de la DRH;10/07/2017 16:55
852;opérateur ;11/07/2017 05:31
853;Superviseur d'équipe;11/07/2017 05:31
854;Contrôleur de Gestion et Auditeur;11/07/2017 08:40
855;"Technicien Informatique ; ";11/07/2017 09:30
856;Maintenance informatique et comerciale;11/07/2017 09:44
857;Gestionnaire d'un site touristique;11/07/2017 14:10
858;Vérificateur Subgrants;11/07/2017 14:47
859;Consultante;11/07/2017 14:47
860;Developpeur pythin, awk, bash;11/07/2017 15:12
861;Data Manager;11/07/2017 19:17
862;veille media;12/07/2017 06:11
863;Freelanceur;12/07/2017 10:17
864;Travail libéral;12/07/2017 11:15
865;Maintenance en Informatique;12/07/2017 11:15
866;Directeur Consultant;12/07/2017 11:59
867;RESPONSABLE ADMINISTRATIVE ;12/07/2017 12:37
868;"-	Plombier et électricien ";13/07/2017 11:18
869;Superviseur maintenance;13/07/2017 14:10
870;Responsable Maintenance;13/07/2017 14:10
871;responsable administratif;13/07/2017 14:42
872;Opérateur de saisie  (comptabilité);13/07/2017 14:42
873;secrétaire-opérateur de tourisme;13/07/2017 14:42
874;correctrice;13/07/2017 14:42
875;opérateur spécialisé;13/07/2017 14:42
876;ingenieur intégrateur internet;13/07/2017 18:25
877;Modérateur web;14/07/2017 09:18
878;Répondre aux appels téléphonique en français, conseiller les clients. ;14/07/2017 09:18
879;professeur de philosophie,de mathématique;14/07/2017 13:43
880;guide accompagnateur et organisateur touristique;14/07/2017 13:43
881;responsable énergie et maintenance;14/07/2017 13:55
882;professeur;14/07/2017 13:55
883;informaticien,électronicien;14/07/2017 13:55
884;responsable ressources humaine;14/07/2017 14:07
885;assistante paie et ressource humaine;14/07/2017 14:07
886;RESPONSABLE DE MAGASIN;14/07/2017 14:11
887;plombier et éléctricien;14/07/2017 14:18
888;plombier;14/07/2017 14:18
889;responsable recrutement et diagnostic poids lourds;14/07/2017 14:33
890;responsable magasin pièce détachées;14/07/2017 14:33
891;chef maintenance;14/07/2017 14:33
892;Consultant individuel;14/07/2017 14:51
893;DAF;14/07/2017 14:51
894;directeur régional successif;14/07/2017 14:51
895;directeur général adjoint;14/07/2017 14:51
896;directeur successif;14/07/2017 14:51
897;Stagiaire dans le département commercial ;15/07/2017 13:24
898;Résponsable Comptable et Administratif;17/07/2017 15:42
899;Responsable Financière et comptable;17/07/2017 15:42
900;Responsable Administrative & Financière;17/07/2017 15:42
901;Classe de second;18/07/2017 07:19
902;Opérateur à la Control Room ;18/07/2017 15:42
903; Chargé clientelle;18/07/2017 23:49
904;Profession libéral;19/07/2017 06:20
905;Infographe PAOiste;19/07/2017 14:18
906;Résponsable de stock;19/07/2017 14:18
907;Transporteur;20/07/2017 06:25
908;sans;20/07/2017 08:16
909;Stagiaire Web Master / Developper;20/07/2017 16:19
910;Web Master / Developper / Informaticien;20/07/2017 16:19
911;Responsable suivi évaluation de projet;21/07/2017 08:16
912;clerk store;21/07/2017 11:24
913;MAGASINIERE;21/07/2017 12:23
914;Gestionnaire  stock - Materiel;21/07/2017 12:23
915;REPONSABLE BOUTIQUE;21/07/2017 12:23
916;TRESORIERE-AGENT BACK OFFICE;21/07/2017 12:27
917;Stagaire au niveau de l'assurances Retraite;21/07/2017 13:41
918;Educatrice spécialisée;22/07/2017 10:43
919;stagiaire comptable;22/07/2017 17:14
920;Service client;24/07/2017 11:14
921;Assistante des ressources humaines;24/07/2017 13:37
922;consultant au service topographique et des domaines antananarivo;24/07/2017 13:59
923;Responsable Département Web;24/07/2017 22:06
924;Auditeur en Organisation et Informatique;24/07/2017 22:06
925;econome adjointe;25/07/2017 08:36
926;adminitratrice et comptable;25/07/2017 08:36
927;community manager / redaction;25/07/2017 08:36
928;administratrice et comptable;25/07/2017 09:04
929;Stagiaire entant qu'éducatrice spécialisé;25/07/2017 13:22
930;Patissier;26/07/2017 09:15
931;Stagiaire en Marketing et Commercial;26/07/2017 12:13
932;Assistante administrative (stagiaire);26/07/2017 12:35
933;Assistante commerciale (stagiaire);26/07/2017 12:35
934;Prof de Français;26/07/2017 13:01
935;Gestionnaire de stock (Stagiaire);26/07/2017 14:27
936;Commercial et  Conseiller clientèle (stagiaire);26/07/2017 14:27
937;coach d'animation;26/07/2017 14:27
938;Technicien de maintenance domaine service generaux;27/07/2017 02:35
939;Stagiaire de Maîtrise ;27/07/2017 06:28
940;Stage d’ouvrier;27/07/2017 06:28
941;Stagiaire en Administration Réseau et systeme maintenance;27/07/2017 07:55
942;Responsable de la collecte et  des conditonnements;27/07/2017 08:55
943;Assistant en Ressources Humaines;27/07/2017 10:48
944;Assistante comptable débutant;27/07/2017 11:43
945;assistante administratrive et comptable;27/07/2017 11:43
946;Professeur de Français,Anglais;27/07/2017 14:12
947; aide responsable ;27/07/2017 14:14
948;Assistant Administratif Logistique/Département parc automobile;27/07/2017 20:08
949;Assistant Administratif Logistique(Service Gestion de Matériel);27/07/2017 20:08
950;ACHETEUR;28/07/2017 07:54
951;Responsable de la vie scolaire;28/07/2017 09:27
952;Livreur;28/07/2017 11:20
953;Consultante privée en finance et comptabilité;28/07/2017 13:20
954;Chargée de clientèle;28/07/2017 13:20
955;Assistante chargée clientèle;28/07/2017 13:20
956;Agent back office;29/07/2017 14:33
957;Redactrice web, modératrice web;31/07/2017 00:37
958;Assistant Manager;01/08/2017 08:04
959;contrôleuse opérateurs de saisie comptable;01/08/2017 12:11
960;OPERATEUR DE TRAITEMENT;01/08/2017 12:11
961;ACHETEUR CHARGEE DE L’IMPORT ;02/08/2017 13:10
962;RESPONSABLE TRANSIT;02/08/2017 13:10
963;ADJOINT AU DIRECTEUR CHARGEE DE L’IMPORTATION ;02/08/2017 13:10
964;RESPONSABLE ADMINISTRATIVE CHARGEE DES IMPORTS & EXPORTS;02/08/2017 13:10
965;DIRECTEUR D’AGENCE;02/08/2017 13:10
966;TECHNICIENNE RH. ;02/08/2017 13:10
967;RESPONSABLE LOGISTIQUE ET TRANSIT;02/08/2017 13:10
968;COORDINATRICE DE PROJET CHARGEE DES APPELS D’OFFRES;02/08/2017 13:10
969;RESPONSABLE ACHATS ET TRANSIT. ;02/08/2017 13:10
970;caisse;02/08/2017 13:40
971;Regisseur de recette;03/08/2017 07:06
972;RESPONSABLE  TRANSIT;03/08/2017 07:32
973;Manager / Chargée de formation et Qualité;03/08/2017 11:43
974;¨Pilote de projet/Responsable de Plateau;03/08/2017 12:34
975;assistante du direction;04/08/2017 13:51
976;TRESORIER-AGENT BACK OFFICE;05/08/2017 15:15
977;BARMAN, DJ;06/08/2017 14:15
978;Hotesse;07/08/2017 07:05
979;Formatrice en gestion informatisée;08/08/2017 13:16
980;Chef de Département Ressources Humaines et Finance;08/08/2017 13:16
981;Retranscripteur Audio;09/08/2017 09:30
982;Animatrice Commercial;09/08/2017 13:44
983;résponsable d'achat.;09/08/2017 13:50
984;stagiaire en transit;09/08/2017 13:50
985;Animateur, Livreur, vendeur, Guide touristique;09/08/2017 13:50
986;Commerciale freelance;09/08/2017 15:15
987;Agent de suivi Administratif ;10/08/2017 07:41
988;Technico-Commercial ;10/08/2017 07:41
989;COMMERCIAL FRONT OFFICE;10/08/2017 07:41
990;Animatrice commerciale;11/08/2017 12:50
991;Formateur de Français;11/08/2017 13:55
992;Assistant Administratif Logistique(Service Gestion de Matériel), Résponsable Logistique et Magasinier au chantier, Agent et Responsable HSE au chantier,   ;11/08/2017 14:38
993;Responsable de plateau;11/08/2017 15:26
994;Assistant technique de District;14/08/2017 15:00
995;Responsable de capitalisation et recherche action;14/08/2017 15:00
996;Technicien de gestion des risques et catastrophes;14/08/2017 15:00
997;Ventes ;16/08/2017 07:57
998;Simulatrice d'Entretien, et  encadreur de mémoire;16/08/2017 11:25
999;Auditeur consultante;16/08/2017 11:25
1000;administrateur du siteweb;17/08/2017 08:32
1001;Surveillance caméra;17/08/2017 11:16
1002;Opératrice Téléphonique;17/08/2017 11:17
1003;DIRECTEUR FINANCIER;17/08/2017 13:51
1004;CONTROLEUR DE GESTION ET CONSULTANT;17/08/2017 13:51
1005;MANAGEMENT ACCOUNTANT;17/08/2017 13:51
1006;RESPONSABLE CONTROLE DE GESTION;17/08/2017 13:51
1007;Getsionnaire de patrimoine;17/08/2017 13:51
1008;Spécialiste des systèmes d'information;17/08/2017 14:08
1009;ASSISTANTE ADMNISTRATIVE;18/08/2017 08:54
1010;Concepteure et élaborateur d'un centre d'information;18/08/2017 13:59
1011;Animatrice et agent de terrain;18/08/2017 13:59
1012;membre de l'association IZANY KA TANORA;18/08/2017 13:59
1013;Commercial freelance;18/08/2017 14:19
1014;Consultant Opérateur de saisie;18/08/2017 14:49
1015;Consultant responsable informatique;18/08/2017 14:49
1016;Responsable Planning de Production;18/08/2017 16:00
1017;Chargé de référencement francophone puis Référenceur-Rédacteur;18/08/2017 16:00
1018;Assistant Administratif;18/08/2017 16:00
1019;Professeur informatique et comptable;20/08/2017 07:00
1020;administrateur de site web;20/08/2017 08:50
1021;Assistante projet;21/08/2017 13:52
1022;Stagiaire la Direction Déleguée aux Opérations Internationales;21/08/2017 14:22
1023;Stagiaire en électromecanicien;21/08/2017 14:57
1024;transcripteur, agent service client;22/08/2017 06:31
1025;Stagiaire Assistant.;22/08/2017 06:51
1026;Stagiaire en Administration Réseau et Sécurité.;22/08/2017 07:12
1027;agent fret import;22/08/2017 07:33
1028;Assistante en transit;22/08/2017 09:07
1029;Assistante en Ressources Humaines et affaires générales;22/08/2017 11:35
1030;Stagiaire en Ressource Humaine;22/08/2017 13:23
1031;Merchandiser, Gestionnaire de Stock, Sourcing Achat;23/08/2017 10:16
1032;Commercial Vente en Ligne;23/08/2017 10:16
1033;Conecpteur - Animateur;23/08/2017 10:16
1034;CHEF DE DEPARTEMENT APPROVISIONNEMENT;23/08/2017 12:00
1035;GESTIONNAIRE DE STOCK PRODUITS FINI ET CONSOMMABLES;23/08/2017 12:00
1036;Assistante administrative et commerciale;23/08/2017 14:56
1037;Stagiaire service client;23/08/2017 14:56
1038;Délégué medical et commercial en pharmaceutique;24/08/2017 11:49
1039;Stagiaire Assistant Administratif;25/08/2017 10:57
1040;COMITE AD HOC;25/08/2017 11:23
1041;Collaborateur RH;26/08/2017 13:44
1042;Asistante Comptable;26/08/2017 14:28
1043;Commercial/ Technicien d'intervention Client;28/08/2017 09:14
1044;Professeur de Physique / Survéillant Général;28/08/2017 16:34
1045;Manager Processus extérnalisé;29/08/2017 09:37
1046;Sécurité;29/08/2017 11:17
1047;Stockiste (département logistique);29/08/2017 11:26
1048;Sécurité d'accés internet;29/08/2017 11:40
1049;Responsable qualité et formation;29/08/2017 13:36
1050;service approvisionnement;29/08/2017 15:06
1051;Assistant KAP;29/08/2017 16:19
1052;Responsable Export par Intérim ;29/08/2017 16:19
1053;Responsable de la documentation à l'Import;29/08/2017 16:19
1054;Agent documentation export;29/08/2017 16:19
1055;Attachée Commerciale ;29/08/2017 16:19
1056;Sécrétaire Standardister - Customer Service;29/08/2017 16:19
1057;Gestionnaire de courriers;30/08/2017 06:28
1058;agent Administratif polyvalent;30/08/2017 06:28
1059;Technicien de maintenance;30/08/2017 06:28
1060;Responsable régional;30/08/2017 07:10
1061;Operateur de sasie polyvalent;30/08/2017 07:10
1062;Coach Niv I;30/08/2017 07:10
1063;Assistant Comptable (stagie professionnel);30/08/2017 08:56
1064;Commercial (Stage professionnel);30/08/2017 08:56
1065;Assistant Commerciale (Stage professionnel) ;30/08/2017 08:56
1066;Stagiaire au service des opérations;30/08/2017 09:32
1067;Agent de bureau, résponsable de ressource humaine;30/08/2017 11:58
1068;Assistante de direction/ Formateurs technique de secrétariat;30/08/2017 11:58
1069;Formatrice Français;30/08/2017 11:58
1070;Secrétaire Administrative;30/08/2017 11:58
1071;Assistante en Ressources Humaines;31/08/2017 09:11
1072;Responsable de stock et d’approvisionnement;31/08/2017 09:14
1073;Relieur;31/08/2017 10:06
1074;Commeciale;31/08/2017 11:05
1075;gestionnaire de clientèle;31/08/2017 11:31
1076;téléconseillère de wonderbox;31/08/2017 11:31
1077;Créateur de site Web;31/08/2017 11:40
1078;Opérateur de saisie (Online);31/08/2017 13:17
